№, id,название,цена со скидкой,бренд,продаж,рейтинг,в наличии,Поверхность экрана,Процессор
14, 152291175,"Ноутбук Sprint M i5 1135G7 16Gb SSD512Gb 15.6"" W11Pro",46791.0,DIGMA,41,5.0,93,матовая,Core i5 1135G7
15, 181084136,Ноутбук M543 R3-4300U 1920*1080 FHD RAM 8ГБ+512ГБ SSD,35099.0,MAIBENBEN,10,5.0,160,NaN,AMD Ryzen 3 4300U
16, 190839576,"Ноутбук V10 14"" IPS 4-Ядра 1920х1080 FHD RAM 8Gb SSD 256Gb",18270.0,XChagaev,47,0.0,90,NaN,NaN
17, 176803080,Ноутбук MEGABOOK T1 14.1' i5-1155G7;16 ГБ; SSD 512 ГБ; Win11,44541.0,TECNO,10,5.0,138,матовая,Intel Core i5 1155G7
18, 175880000,MacBook Pro 13 M2 8 256 (Space Grey),126982.0,Apple,25,0.0,115,глянцевая,NaN
19, 178623840,MacBook Air 13 M2 8 256 (Midnight),110873.0,Apple,30,0.0,113,NaN,Apple M2
20, 181176233,"Ноутбук EVE 15 C423 15.6"" Ryzen 3 3200U 8Gb SSD512Gb W11Pro",33651.0,DIGMA,34,5.0,111,матовая,Ryzen 3 3200U
21, 150752538,Подарочная карта с кодами на Robux 800,1583.0,Roblox,15,5.0,1,NaN,NaN
22, 159496818,"Ноутбук 15.6"" IPS 4-Ядра RAM DDR5 12GB SSD 512GB (M.2)",36841.0,DeltaTech,58,5.0,111,NaN,Intel Processor N95
23, 173817951,Ноутбук V10 8 256,18720.0,Frbby,28,4.0,90,NaN,Intel(R) Celeron(R) J4105
24, 180960538,"Ноутбук EVE 15 P5850 15.6"" N5030 8Gb SSD256Gb W11",27351.0,DIGMA,30,5.0,105,матовая,Intel Pentium Silver N5030
25, 182937482,Ноутбук для учебы Litebook 15 C152I-I511-W11 (N156DRP),38240.0,ЗЕОН,41,5.0,92,антибликовая,Intel Core i5 1155G7
26, 180961283,"Ноутбук EVE 15 C5800 15.6"" N4020 8Gb SSD256Gb W11",22491.0,DIGMA,30,5.0,105,матовая,Intel Celeron N4020
27, 157273443,"Ноутбук MiniBook X 10.51"" 1200*1920 N5100 12G 512G Iron Gray",32031.0,CHUWI,19,5.0,34,NaN,Intel Celeron N5100
28, 150753794,Подарочная карта с кодами на Robux 2500,4123.0,Roblox,28,5.0,1,NaN,NaN
29, 177857416,MacBook Pro 16 M2 Pro 16 1 (Space Grey),270892.0,Apple,22,5.0,120,NaN,Apple M2 Pro
30, 151775685,"Ноутбук GemiBook Xpro 14.1"" 1920*1080 N100 8G 256G",26496.0,CHUWI,14,5.0,60,NaN,Intel N100
31, 182365571,MacBook Pro 16 M2 Pro 16 512 (Silver),231562.0,Apple,25,0.0,116,NaN,Apple M2 Pro
32, 167819577,Ноутбук Sprint M Ryzen 5 3500U 8Gb SSD256 15.6 W11Pro,37791.0,DIGMA,37,5.0,175,матовая,AMD Ryzen 5 3500U
33, 71398281,"Ноутбук MagicBook X14 (i3-10110U 8Gb 256Gb SSD 14""FHD UMA Wi…",45766.0,Honor,62,4.0,118,матовая,Intel Core i3 10110U
34, 177727353,"Ноутбук Freebook; 13.5"" IPS N100 12G 512G Win11",33471.0,CHUWI,16,5.0,72,NaN,Intel N100
35, 172200668,MacBook Air 15 M2 8 512 (Space Grey),159021.0,Apple,16,5.0,236,NaN,Apple M2
36, 177836892,"Ноутбук 15.6"" Pro Fortis M Ryzen 5 5600U 16 SSD1024 W11Pro",51021.0,DIGMA,38,5.0,80,матовая,Ryzen 5 5600U
37, 158445938,Ноутбук 90NX05E1-M010F0 P1512CEA-BQ0825X,58749.0,Asus,36,5.0,97,антибликовая,Intel Core i7 1165G7
38, 138984624,Ноутбук Vivobook S K3502ZA-KJ445W [90NB0WK3-M00RP0],76655.0,Asus,30,5.0,25,антибликовая,Intel Core i7 12700H
39, 172200669,MacBook Air 15 M2 8 512 (Silver),159021.0,Apple,16,5.0,236,NaN,Apple M2
40, 179148647,Ноутбук IdeaPad Slim 5 14IRL8 [82XD001YRK],50489.0,lenovo,23,0.0,101,антибликовая,Intel Core i5-13420H
41, 149769397,Ноутбук A315-58 15.6 i3 4Gb 1000Gb noOS(NX.ADGER.004),31173.0,Acer,25,0.0,98,NaN,Intel Core i3-1115G4
42, 156433241,Ноутбук ExpertBook B1 B1500CEAE-BQ4233W,41042.0,Asus,36,0.0,93,NaN,Intel Core i3 1115G4
43, 181079939,"Ноутбук 16"" P615 i5-11320H 2560*1600 QHD RAM 8ГБ+256ГБ SSD",49499.0,MAIBENBEN,10,0.0,205,NaN,Intel Core i5 11320H
44, 181081973,Игровой ноутбук X565 R5-6600H RTX4050(6ГБ) 16ГБ+512ГБ 144Гц,81899.0,MAIBENBEN,10,0.0,237,NaN,AMD Ryzen 5 6600H
45, 177856473,MacBook Pro 16 M2 Pro 16 512 (Silver),239932.0,Apple,22,5.0,116,NaN,Apple M2 Pro
46, 173102890,Ноутбук Magnus M Ryzen 7 5800H 16Gb SSD512Gb W11P,67491.0,DIGMA,32,5.0,174,матовая,AMD Ryzen 7 5800H
47, 177823278,"Ноутбук EVE 15 C423 15.6"" N5030 8Gb SSD256Gb W11Pro",28161.0,DIGMA,35,5.0,101,матовая,Intel Pentium Silver N5030
48, 179148645,Ноутбук IdeaPad 5 Pro 16ARH7 [82SN008QRK],77273.0,lenovo,27,0.0,131,антибликовая,AMD Ryzen 5 6600HS
49, 182778275,Ноутбук M547 R7-4700U 1920*1080 FHD 60Гц RAM 8ГБ+512ГБ SSD,38699.0,MAIBENBEN,10,5.0,160,NaN,AMD Ryzen 7 4700U
50, 172200671,MacBook Air 15 M2 8 256 (Starlight),134451.0,Apple,19,5.0,236,NaN,Apple M2
51, 175879996,MacBook Pro 13 M2 8 256 (Silver),126982.0,Apple,25,0.0,115,глянцевая,NaN
52, 149769898,Ноутбук A315-58 15.6 i5 4Gb 256Gb noOS(NX.AL0ER.008),41068.0,Acer,25,0.0,98,NaN,Intel Core i5-1135G7
53, 104235337,"Ноутбук Swift 3 SF314-511-31FS [NX.ABLER.00C]14"" noOS",35661.0,Acer,36,5.0,68,NaN,Intel Core i3 - 1115G4
54, 164232928,Ноутбук S2; Intel Celeron N5095 (2.9 ГГц),31185.0,DogiFlaps,43,5.0,40,NaN,Intel N5095
55, 137552854,Ноутбук для учебы M547,44486.0,MAIBENBEN,37,5.0,168,матовая,Ryzen 7 4700U
56, 177701702,Inbook X2 PLUS-11th (XL25),57744.0,Infinix,16,0.0,93,NaN,Core i7-1195G7; Intel Iris Xe
57, 138983616,Ноутбук Vivobook S K3502ZA-KJ352W [90NB0WK2-M00RK0],58188.0,Asus,33,5.0,25,антибликовая,Intel Core i5
58, 179950270,Legion Slim 5 16APH8 [82Y9001PRK],88552.0,lenovo,26,0.0,170,антибликовая,AMD Ryzen 5 7640HS
59, 116564383,"Ноутбук Thinkbook 15-ITL Core i3 1115G4 8Gb SSD256Gb 15.6"" I…",53810.0,lenovo,36,5.0,175,матовая,Core i3 1115G4
60, 177640375,Inbook Y1 NEO XL30,27909.0,Infinix,15,0.0,93,NaN,Intel Celeron N5100
61, 159017244,Ноутбук P1412CEA-EB0911X (90NX05D1-M012U0),61911.0,Asus,36,0.0,87,NaN,Intel Core i7 1165G7
62, 191970158,Ноутбук 15 X515EA-BQ945W i3 4 256 Win11 серебристый,41580.0,ASUS,50,0.0,111,матовая,Intel Core i3 1115G4
63, 12783826,"Ноутбук XPS 13 9300 (i5-1035G1 8Gb 512Gb SSD 13;4""",115406.0,Dell,32,5.0,96,матовая,Intel Core i5 1035G1
64, 169592183,"Ноутбук 15.6"" IPS 4-Ядра 12GB SSD 512GB",34200.0,Compolis,55,5.0,106,матовая,Intel Celeron N5095
65, 172232756,MacBook Pro 13 M2 8 512 (Silver),147592.0,Apple,26,5.0,115,глянцевая,Apple M2
66, 175879998,MacBook Pro 13 M2 8 256 (Silver),126982.0,Apple,25,0.0,115,глянцевая,NaN
67, 122834851,Ноутбук ProBook 650 G8,70637.0,HP,44,0.0,166,матовая,Core i5 1135G7
68, 164593610,Карта пополнения 4500,5744.0,Roblox,31,5.0,1,NaN,NaN
69, 175880001,MacBook Pro 13 M2 8 256 (Space Grey),126982.0,Apple,25,0.0,115,глянцевая,NaN
70, 173104686,Ноутбук Magnus M Ryzen 9 5900HX 16Gb SSD512Gb W11P,71991.0,DIGMA,36,5.0,174,матовая,AMD Ryzen 9 5900HX
71, 47719802,"Ноутбук Swift 3 SF316-51-50PB (i5-11300H 8Gb 256Gb SSD 16;1""…",58024.0,Acer,27,4.0,99,матовая,Intel Core i5 11300H
72, 158958788,"Ноутбук EVE 15 P418 15.6"" Celeron N4020C 4Gb eMMC128Gb W11",21566.0,DIGMA,40,5.0,107,матовая,Celeron N4020C
73, 62934694,Ноутбук TravelMate P2 TMP215-53-36CS (NX.VPVER.00B),52464.0,Acer,39,5.0,105,матовая,Intel Core i3 1115G4
74, 177701704,Y1 PLUS 10TH XL28,35901.0,Infinix,14,0.0,93,NaN,Core i5-1035G1
75, 179072709,MacBook Air 13 2022 M2 8 256 ГБ; Silver,110160.0,Apple,10,0.0,139,NaN,Apple M2
76, 181849747,Ноутбук Legion Pro 5 Gen 8 (82WK00BERK),236152.0,Lenovo,26,0.0,180,антибликовая,Intel Core i7-13700HX
77, 177649162,Zerobook Ultra ZL12,80253.0,Infinix,18,5.0,320,NaN,Core i9-12900H
78, 156440734,Ноутбук ExpertBook B1 B1400CEAE-EB6193,47421.0,Asus,35,0.0,89,NaN,Intel Core i5 1135G7
79, 183377706,Ноутбук Frbby V10 8 256,19237.0,Toptrend,32,5.0,90,NaN,Intel(R) Celeron(R) J4105
80, 178635485,"Ноутбук Sprint M i7 1165G7 16Gb SSD512Gb 15.6"" W11Pro",55791.0,DIGMA,31,5.0,90,матовая,Intel Core i7 1165G7
81, 181567605,Ноутбук T1 i5 16G + 512G (DOS 11GEN 14.1) Grey,42512.0,TECNO,55,2.0,68,матовая,Intel Core i5 1155G7
82, 162879102,Ноутбук Machcreator-14x i5-12500H 16ГБ 512ГБ SSD,51141.0,Machenike,37,4.0,157,матовая,Intel Core i5 12500H
83, 164183579,"Ноутбук мощный i7 1185G7 15.6"" IPS RAM 16GB DDR4 и SSD 512GB",65720.0,DeltaTech,39,5.0,103,матовая,Intel Core i7 1185G7
84, 138800837,Мощный ноутбук Sarbook Nova + Silver,54720.0,SAR,42,4.0,132,матовая,AMD Ryzen 7 4800U (1.8 ГГц)
85, 156431175,Ноутбук ExpertBook B1 B1500CEAE-BQ1999T,39079.0,Asus,35,0.0,93,NaN,Intel Celeron 6305
86, 181083260,Игровой ноутбук X577 R7-7735H RTX4060(8ГБ) 16ГБ+512ГБ QHD,107999.0,MAIBENBEN,10,0.0,237,NaN,AMD Ryzen 7 7735HS
87, 104262544,Ноутбук Nitro 5 AN515-45-R4NJ [NH.QBSER.00M] 15.6 noOS,142143.0,Acer,30,3.0,180,NaN,Ryzen 9 5900HX
88, 190840518,"Ноутбук 15.6"" V 16 pro Intel Celeron 5105 16GB+512GB",30780.0,XChagaev,31,0.0,182,матовая,Intel Celeron J4105
89, 175879991,MacBook Air 13 M2 8 512 (Space Grey),149392.0,Apple,25,0.0,104,глянцевая,Apple M2
90, 178155883,Ноутбук Aspire 5 A515-58M-532W (NX.KHEER.002),68183.0,Acer,20,0.0,140,антибликовая,Intel Core i5-1335U
91, 177855138,MacBook Pro 16 M2 Pro 16 512 (Space Grey),239932.0,Apple,22,5.0,120,NaN,Apple M2 Pro
92, 181848945,Ноутбук Legion Pro 5 Gen 8 (82WK008FRK),197992.0,Lenovo,20,0.0,180,антибликовая,Intel Core i5-13500HX
93, 159488380,Ноутбук 90NX0441-M01S10 ExpertBook B1 B1500CEAE-BQ3506X,73089.0,Asus,35,0.0,93,NaN,Intel Core i7 1165G7
94, 181089128,Игровой ноутбук X627 i7-12650H RTX4060(8ГБ) QHD 16ГБ+512ГБ,108899.0,MAIBENBEN,10,0.0,271,NaN,Intel Core i7 12650H
95, 172331046,Ноутбук Aspire 3 A315-35 NX.A6LER.004,36414.0,Acer,23,5.0,18,антибликовая,Intel Pentium N6000
96, 175887812,MacBook Air 13 M2 8 512 (Starlight),149392.0,Apple,25,0.0,104,NaN,Apple M2
97, 181082774,Игровой ноутбук X527 i7-12650H RTX4060(8ГБ) 16ГБ+512ГБ 144гц,103499.0,MAIBENBEN,10,0.0,237,NaN,Intel Core i7 12650H
98, 172200661,MacBook Air 15 M2 8 512 (Starlight),159021.0,Apple,16,5.0,236,NaN,Apple M2
99, 182365565,MacBook Pro 16 M2 Pro 16 512 (Space Grey),231562.0,Apple,25,0.0,120,NaN,Apple M2 Pro
100, 181850883,Ноутбук Legion Pro 5 Gen 8 (82WK003URK),150961.0,Lenovo,25,0.0,180,антибликовая,Intel Core i5-13500HX
101, 182780413,Ноутбук P415 i3-1115G4 3000x2000 8ГБ+512ГБ Сенсорный экран,35999.0,MAIBENBEN,10,0.0,205,NaN,Intel Core i3 1115G4
102, 177859343,MacBook Pro 14 M2 Pro 16 1 (Space Grey),241912.0,Apple,24,5.0,102,NaN,Apple M2 Pro
103, 178623839,MacBook Air 13 M2 8 512 (Midnight),149392.0,Apple,25,0.0,113,NaN,Apple M2
104, 179148625,Ноутбук IdeaPad 5 Pro 16ARH7 [82SN008PRK],80189.0,lenovo,27,0.0,131,антибликовая,AMD Ryzen 7 6800HS
105, 12124394,Ноутбук TravelMate X3 TMX314-51-M-5525 (i5-8265U 8Gb 256Gb S…,79229.0,Acer,33,0.0,109,матовая,Intel Core i5 8265U
106, 149760799,Ноутбук SF314-43 14 Ryzen 3 8Gb 256Gb (NX.AB1ER.004),43003.0,Acer,25,0.0,98,NaN,AMD Ryzen 3 5300U
107, 151222976,Zero book Ultra ZL12 Core-i9 15 16GB 512GB,92060.0,Infinix,7,5.0,320,NaN,Core i9-12900H
108, 158432270,Ноутбук ExpertBook B1 B1500CEAE-BQ4237W,51271.0,Asus,35,0.0,93,NaN,Intel Core i5 1135G7
109, 181392158,Ноутбук Swift Go SFG16-71-711P (NX.KFSER.003),147897.0,Acer,19,0.0,158,NaN,Intel Core i7-1355U
110, 181374315,Ноутбук Swift Go SFG14-71-5446 (NX.KMZER.002),114687.0,Acer,19,0.0,121,NaN,Intel Core i5-1335U
111, 181332791,Ноутбук Aspire 5 A517-53-58YP (NX.K62ER.00A),89262.0,Acer,18,0.0,105,антибликовая,Intel Core i5-1235U
112, 181859002,Ноутбук IdeaPad 3 Gen 7 (82RN0006RU),72747.0,Lenovo,15,0.0,113,NaN,AMD Ryzen 7 5825U
113, 182780805,Ноутбук P527 i7-12700H Arc-A550M(8ГБ) 16ГБ+1024ГБ SSD Win11,79199.0,MAIBENBEN,10,5.0,205,NaN,Intel Core i7 12700H
114, 178163392,Ноутбук Aspire 3 A315-24P-R1LL (NX.KDEER.00G),61092.0,Acer,16,0.0,109,антибликовая,AMD Ryzen 5 7520U
115, 164727824,S16 16.0'' (2560x1600) IPS 32GB+1TB SSD,152621.0,Machenike,38,0.0,193,матовая,Intel Core i9-12900H
116, 178141780,Ноутбук Aspire 5 A515-58M-39AP (NX.KHEER.001),57744.0,Acer,19,0.0,140,антибликовая,Intel Core i3 1315U
117, 177874959,"Ноутбук 14"" IPS 4-Ядра 8GB SSD 256GB",21600.0,,56,4.0,149,NaN,Intel Celeron J4105
118, 181414931,Ноутбук Aspire 5 Spin 14 A5SP14-51MTN-58R3 (NX.KHTER.001),108717.0,Acer,16,0.0,116,NaN,Intel Core i5-1335U
119, 164594020,Карта пополнения 10000,12301.0,Roblox,28,5.0,1,NaN,NaN
120, 169234407,"Ноутбук 14.1"" W10pro SSD512GB Intel Celeron J4105 6 GB",28728.0,Smartx,28,5.0,90,матовая,Intel Celestine J4105
121, 189288236,"ноутбук Rush i5 12450H 16Gb 1Tb RTX 3050Ti 15.6"" noOS",76941.0,GMNG,39,5.0,165,матовая,Intel Core i5 12450H
122, 181343266,Ноутбук Aspire 3 A315-24P-R52A (NX.KDEER.00F),60336.0,Acer,19,0.0,109,антибликовая,AMD Ryzen 5 7520U
123, 190680191,"Ноутбук Sprint M Ryzen 7 3700U 16Gb SSD512Gb 16.1"" W11Pro",49581.0,DIGMA,33,5.0,133,матовая,AMD Ryzen 7 3700U
124, 181417058,Ноутбук Aspire 5 A515-57-524A (NX.K3KER.00B),68715.0,Acer,17,0.0,123,антибликовая,Intel Core i5-1235U
125, 139060836,Ноутбук Latitude 3510 Core i3 10110U 8Gb SSD256Gb,108559.0,Dell,37,0.0,128,NaN,NaN
126, 170432951,Ноутбук AORUS 15,151158.0,Gigabyte,23,5.0,31,NaN,Intel Core i7 13700H
127, 178158689,Ноутбук Aspire 5 A515-58M-73ZA (NX.KHEER.003),97191.0,Acer,19,0.0,140,антибликовая,Intel Core i7-1355U
128, 163495425,Ноутбук Nitro 5 AN515-58-75GT (NH.QFMER.008) Черный,108239.0,Acer,23,0.0,123,антибликовая,Intel Core i7 12700H
129, 178170599,Ноутбук Aspire 5 A517-53-51E9 (NX.K62ER.002),75793.0,Acer,15,0.0,161,антибликовая,Intel Core i5-1235U
130, 170432948,Ноутбук AORUS 17H,196932.0,Gigabyte,23,0.0,44,матовая,Intel Core i7 13700H
131, 181874366,Ноутбук T1 i5 16G + 512G (WIN 11GEN 14.1) Grey,42512.0,TECNO,55,0.0,138,матовое,Intel Core i5-1035G4 (1.1 ГГц)
132, 172226670,MacBook Air 15 M2 8 256 (Space Grey),138933.0,Apple,16,5.0,236,NaN,Apple M2
133, 181353561,Ноутбук Aspire 3 A315-24P-R6SK (NX.KDEER.00A),57951.0,Acer,17,0.0,109,антибликовая,AMD Ryzen 3 7320U
134, 190687542,"Ноутбук Sprint M Ryzen 7 3700U 8Gb SSD256Gb 16.1"" W11Pro",42741.0,DIGMA,41,5.0,133,матовая,AMD Ryzen 7 3700U
135, 181862627,Ноутбук IdeaPad 3 Gen 6 (82H8024SRK),66231.0,Lenovo,17,5.0,123,антибликовая,Intel Core i7-1165G7
136, 172232661,MacBook Pro 13 M2 8 512 (Space Grey),147592.0,Apple,26,5.0,114,глянцевая,Apple M2
137, 170432952,Ноутбук AORUS 17H,200094.0,Gigabyte,25,5.0,44,матовая,Intel Core i7 13700H
138, 178179543,Ноутбук Aspire 5 A517-53G-563F (NX.K66ER.006),93141.0,Acer,19,0.0,161,антибликовая,Intel Core i5-1235U
139, 181375385,Ноутбук Swift Go SFG14-71-76T2 (NX.KMZER.003),133317.0,Acer,19,0.0,121,NaN,Intel Core i7-1355U
140, 166346095,Ноутбук X515EA-BQ1189W 15.6 i3 8Gb (90NB0TY1-M25390),47383.0,Asus,7,5.0,28,NaN,Intel Core i3 1115G4
141, 147334332,Inbook X2-11th XL23 14 Core-i5 8GB 512GB,51149.0,Infinix,7,5.0,90,NaN,Intel Core i5-1155G7; Intel Iris Xe
142, 171206045,Ноутбук ультратонкий 4-Ядра 8GB SSD 256GB,24480.0,ShopOpt,64,5.0,118,матовая,Intel Celeron J4125
