№, id,название,цена со скидкой,бренд,продаж,рейтинг,в наличии,Поверхность экрана,Процессор
184, 182365564,MacBook Pro 14 M2 Pro 16 1 (Space Grey),249472.0,Apple,24,0.0,102,NaN,Apple M2 Pro
185, 170432942,Ноутбук AERO 14 OLED,137608.0,Gigabyte,26,5.0,22,NaN,Intel Core i7 13700H
186, 123583961,Ноутбук ThinkBook 14-ITL,79727.0,lenovo,39,5.0,166,матовая,Core i5 1135G7
187, 139348251,Ноутбук WORKBOOK N1567RH;цвет серебристый,51372.0,HIPER,10,0.0,99,NaN,Intel Core i5 10210U
188, 163495446,Ноутбук Swift X SFX14-41G-R5US (NX.AC2ER.001),68104.0,Acer,20,0.0,104,матовая,AMD Ryzen 5 5500U
189, 84404132,"Ноутбук Lime C156PP NOS Core i5-8259U 8Gb SSD256Gb 15.6"" IPS…",42987.0,ACD Lime,37,4.0,41,матовая,Core i5 8259U
190, 181422352,Ноутбук Aspire 3 A315-23-R36F (NX.HVTER.02L),47367.0,Acer,15,0.0,104,антибликовая,AMD Ryzen 5 3500U
191, 172331052,Ноутбук Swift X SFX14-41G R585SGW1 [NX.AU1ER.006],62877.0,Acer,36,5.0,13,NaN,AMD Ryzen 5 5500U
192, 172331063,Ноутбук Aspire 5; A515-57 I385SUW1 [NX.K3KER.00E],51686.0,Acer,27,0.0,17,антибликовая,Intel Core i3 1215U
193, 172331067,Ноутбук Aspire 3 A315-59 NX.K6TER.002,42792.0,Acer,27,0.0,18,NaN,Intel Core i3 1215U
194, 172227537,MacBook Air 15 M2 8 256 (Starlight),138933.0,Apple,16,2.0,236,NaN,Apple M2
195, 62934690,"Ноутбук Probook 650 G8 Core i5 1135G7 8Gb SSD256Gb 15;6"" IPS…",90520.0,HP,33,0.0,123,матовая,Core i5 1135G7
196, 110358616,"Ноутбук TravelMate P2 Core i5 10210U 8Gb SSD256Gb 14"" IPS FH…",66265.0,Acer,34,0.0,68,матовая,Core i5 10210U
197, 116564387,Ноутбук Lime 15;6 CN1-156P,48261.0,ACD Lime,33,5.0,112,матовая,Core i5 8259U
198, 163495449,Ноутбук Aspire 5 A515-57-51W3 (NX.K3KER.006),65361.0,Acer,16,0.0,123,антибликовая,Intel Core i5 1235U
199, 182779658,Ноутбук M565 i7-1165G7 16ГБ+512ГБ сенсорный экран FHD Win11,65339.0,MAIBENBEN,10,0.0,160,NaN,Intel Core i7 1165G7
200, 163211338,Ноутбук ThinkPad X13 Gen 3 (21CNS0UY00),101052.0,lenovo,14,0.0,110,антибликовая,AMD Ryzen 5 PRO 6650U
201, 163111049,Ноутбук Legion 5 Gen 6 (82JU019YRK),159021.0,lenovo,16,0.0,123,антибликовая,AMD Ryzen 7 5800H
202, 163495445,Ноутбук Aspire 3 A315-24P-R2B8 (NX.KDEER.00D),45335.0,Acer,25,0.0,123,матовая,AMD Ryzen 5 7520U
203, 172331068,Ноутбук Aspire 5 A515-57 I382SUN [NX.K3KER.001],46737.0,Acer,19,0.0,16,антибликовая,Intel Core i3 1215U
204, 182777957,Ноутбук M545 R5-4500U 1920*1080 FHD 60Гц RAM 8ГБ+SSD 512ГБ,38879.0,MAIBENBEN,10,0.0,160,NaN,AMD Ryzen 5 4500U
205, 118789544,"Ноутбук TravelMate P6 Core i7 10510U 8Gb SSD256Gb 14"" Touch…",100491.0,Acer,33,0.0,56,Матовая (антибликовая),Core i7 10510U
206, 154576176,"Ноутбук 14EC5 i5 1135G7 8Gb SSD1Tb 14.1"" IPS FHD DOS",37611.0,iRU,23,5.0,882,NaN,Intel Core i5 1135G7
207, 144890969,"Ноутбук ThinkPad E15 G2 15.6"" FHD i5 16Gb 512SSD W11H",111114.0,lenovo,10,0.0,120,матовое,NaN
208, 146339585,"Ноутбук игровой ROG Zephyrus G15 R9 16 ГБ 1ТБ 3080 15.6"" IPS",162891.0,Asus,28,0.0,401,антибликовая,AMD Ryzen 9 6900HS
209, 178959238,"Ноутбук 15s-fq0068ur; 15.6"" 128 ГБ (3B3N9EA)",54891.0,HP,10,0.0,95,матовая,Intel Pentium Silver N5030
210, 164593077,Карта пополнения 1700,2648.0,Roblox,17,5.0,1,NaN,NaN
211, 172331043,Ноутбук Swift 3 SF314-512 I585SUW1 [NX.K7MER.002],74092.0,Acer,19,0.0,14,антибликовая,Intel Core i5 1240P
212, 172331061,Ноутбук Aspire 5 A514-55 I382SUW1 [NX.K5DER.001],50925.0,Acer,20,0.0,16,NaN,Intel Core i3 1215U
213, 182543253,"P1 15.6"" Ноутбук; Intel Celeron J4125; 12+256ГБ IPS",28791.0,IPASON,10,0.0,135,NaN,Intel Celeron J4125
214, 172331050,Ноутбук Aspire 3 A315-43 NX.K7CER.008,53873.0,Acer,27,0.0,18,NaN,AMD Ryzen 5 5500U
215, 163495420,Ноутбук игровой Nitro 5 AN515-46-R031 (NH.QGZER.007),111852.0,Acer,19,5.0,175,антибликовая,AMD Ryzen 7 6800H
